m,s_tor,tangential_current,rational_s_tor
4,0.3374125728440744,0.001997255578771161,0.3367832353310154
4,0.33803713511106515,0.0020036038604261674,0.3367832353310154
4,0.33921557888919546,0.0020682985351144602,0.3367832353310154
4,0.3423569455740396,0.002097899513318743,0.3367832353310154
4,0.34808341319378705,0.001568546339887624,0.3367832353310154
4,0.3552642720955083,0.0006766553529247876,0.3367832353310154
4,0.36305793610632675,0.00027051820167575485,0.3367832353310154
4,0.3711537568180135,0.00016259502611746268,0.3367832353310154
4,0.3794450730561415,0.000168157210356579,0.3367832353310154
4,0.3878888906188352,0.00018592920325184752,0.3367832353310154
4,0.3964644576444929,0.00020284855819535758,0.3367832353310154
4,0.40515971372085685,0.0002118029378069122,0.3367832353310154
4,0.4139659109616991,0.00021919229730109574,0.3367832353310154
4,0.4228745470354246,0.00022445522378496745,0.3367832353310154
4,0.4318749451705691,0.0002502725069815118,0.3367832353310154
4,0.4409509104760028,0.0002757733470161307,0.3367832353310154
4,0.4500747707497486,0.00030410210471340564,0.3367832353310154
4,0.45914919120429176,0.00034204404634162786,0.3367832353310154
4,0.46800738264545017,0.0004187479454781552,0.3367832353310154
4,0.4761271354652817,0.0004732537697921232,0.3367832353310154
4,0.48238523426878677,0.000641501352578533,0.3367832353310154
4,0.48540723328466456,0.0006686640722314607,0.3367832353310154
4,0.48675820968245603,0.0006903461623282614,0.3367832353310154
4,0.4874476629859504,0.0006902378960348989,0.3367832353310154
4,0.48792283115845897,0.0007018478744773746,0.3367832353310154
4,0.48831252526898183,0.0007740955977622483,0.3367832353310154
4,0.4886683669111045,0.0005878616337293034,0.3367832353310154
4,0.4890576157191495,0.0007738665226741674,0.3367832353310154
4,0.48953550841490434,0.0006886744516848847,0.3367832353310154
4,0.49028497380660263,0.0006674687338665898,0.3367832353310154
4,0.49167488974308693,0.0006621283953080581,0.3367832353310154
4,0.49486089797572397,0.0005819391020677787,0.3367832353310154
4,0.5012161269753587,0.0003440575099865211,0.3367832353310154
4,0.5096408428434245,0.0002588740210295775,0.3367832353310154
4,0.518980286088116,0.0002312955569550205,0.3367832353310154
4,0.5287679326440193,0.00023470115858883727,0.3367832353310154
4,0.538814457516978,0.00023141011858810397,0.3367832353310154
4,0.5490357400407467,0.0002546150814140077,0.3367832353310154
4,0.5593387892459778,0.00027214756499034166,0.3367832353310154
4,0.5696597353771594,0.00029957098517590617,0.3367832353310154
4,0.5798744689327439,0.00033337056892140347,0.3367832353310154
4,0.5896898426477407,0.0004684711441242752,0.3367832353310154
4,0.598444932853079,0.0007844501826056411,0.3367832353310154
4,0.6045457764011423,0.0011494458438598644,0.3367832353310154
4,0.607264603541583,0.001301655195166472,0.3367832353310154
