component,rho_pol,mars_rms,neort_rms,relative_residual
J2,0.80842073,0.6078825881653351,0.6034111052765941,0.008722350021293582
J2,0.81302416,0.6576143049740195,0.6659954153843968,0.015443838655936532
J2,0.81768384,0.5546109717683071,0.564955228313894,0.02740388081283439
J2,0.82233974,0.4830785024701438,0.43273881313358986,0.13051454035872173
J2,0.82696847,0.9558750480123439,1.0441202263641916,0.09559990577860848
J2,0.83154794,0.3769881813545198,0.36376448991300897,0.04883999629138329
J2,0.83607865,0.3714071610880465,0.28322551672868584,0.5058137045940934
J2,0.84055351,1.9668882739599431,2.3110617007879415,0.1764642701493399
J2,0.84496123,0.5713094166009656,0.7263582172149956,0.3072653774594603
J2,0.84928162,0.696241969027648,0.3221941663906613,0.7479546478911031
J2,0.85344984,6.851887533050104,7.9266713412351955,0.15698947863805338
J2,0.85722671,0.943557959728318,1.7695022572629278,0.9099729633870408
J2,0.86003193,6.690656250995827,7.100653838299722,0.062189701607878206
J2,0.8611646,9.381939821714923,10.309320506654378,0.09899564758094967
J2,0.86171739,17.584531350531226,18.353850821378412,0.04377115643684048
J2,0.86213782,17.28265697648616,16.727450243064357,0.03213893780774259
J2,0.8626873,22.105906557587367,22.01767492098454,0.004171587849677792
J2,0.8636786,18.06082514315535,20.287965670194115,0.12339482094539775
J2,0.86606065,3.8420108921861886,4.688059757870126,0.22238184157877716
J2,0.86953357,4.73062288706042,5.330851189603783,0.1274462149041063
J2,0.8733977,1.749117663969933,1.6173009416111188,0.08525083612138779
J2,0.87736975,1.3900323064538742,1.5441601437083803,0.14423334231745172
J2,0.88132956,2.05621042089683,2.2130409451737894,0.08069595303713147
J2,0.88524283,1.2432861706211866,1.2925429762048335,0.0775509035775603
J2,0.88907845,0.29938833975404067,0.3860947056543343,0.39740229730713506
J2,0.89276962,0.1702457746717431,0.1498776523264985,0.2514930485246779
J2,0.89600392,0.12674991595779067,0.13788717737965542,0.13926384746229653
J2,0.89816257,0.122836365622759,0.11263096250282592,0.11619789466844085
J2,0.89904339,0.0679401366587718,0.07076685288222305,0.06517358413368607
J2,0.89949853,0.06610013720035171,0.06524810103995847,0.09323006928164555
J2,0.89986159,0.10315145508889442,0.07676747599631832,0.3217941397059381
J2,0.90025468,0.15516992174533464,0.17121430625115713,0.1303618635318163
J2,0.90090921,0.1706497262785795,0.16658924165015998,0.05075090672445605
J2,0.90236991,0.30902536248717094,0.24797192872872864,0.21117244521577816
J2,0.90517973,0.7390078838802377,0.7606332004241487,0.030568221911636995
J2,0.90846437,0.2582417749629652,0.4099120878329647,0.6271751079623062
J2,0.91191191,0.8933076576818553,1.3394560668541027,0.5017998211218658
J2,0.91534523,2.8912479394267123,3.3214367443166903,0.1497028994555585
J2,0.91857647,1.5677694934536384,1.5941939846420843,0.05606188350993068
J2,0.92136788,3.0084018787846345,3.4688897781167602,0.1536096719196511
J2,0.92322111,3.7348660316490294,2.8896081061786303,0.2268448987678369
J2,0.9239467,0.1488288771546295,0.21386546079143978,0.7624644855427137
J2,0.92434075,3.895501468766291,4.378550907231549,0.12410269708998353
J2,0.92462161,3.4533430675297345,3.1070439965456176,0.10045401112947806
J2,0.92497209,7.102440710039968,6.867192478985109,0.03331000991014051
J2,0.92542052,10.655182172793468,10.942599282924578,0.027035256568317925
J2,0.92645984,4.595904986943853,5.436230019620422,0.18336253875140687
J2,0.92864291,1.9288682957657743,2.3963574585842395,0.2431352286645184
J2,0.9314703,1.853488665714044,2.2622031404537912,0.22145481146700002
J2,0.93442377,0.9472864140356799,0.8326538912513797,0.12681648177330684
J2,0.93733546,0.15638583035765052,0.14302795420247064,0.18918051496160723
J2,0.93962127,0.20549962070744268,0.23320488701721992,0.1576220951328354
J2,0.94089531,0.2707786472339171,0.26619705222533496,0.03666680470379195
J2,0.94142977,0.2105212585056507,0.20182256538823526,0.06841938384301016
J2,0.94174327,0.1624641365169205,0.1734351402298971,0.2123445430647438
J2,0.94200254,0.13322212990624538,0.12787364950904434,0.26483190902033776
J2,0.94227357,0.11684825293272007,0.12867268519278982,0.15901535210103557
J2,0.94276707,0.06440977012482309,0.06590919831859143,0.21754055372080366
J2,0.94359242,0.12896498503177514,0.1191797611745729,0.2287441086897416
J2,0.94535834,0.39459986235097716,0.3229429708627313,0.2629264251230424
J2,0.94778648,1.0002992521002818,1.1458747272246212,0.14791944755762756
J2,0.95023635,0.308278769363668,0.1971078263574823,0.5199677159408168
J2,0.95241724,0.2658626268046304,0.4384066866212343,0.7092146610787265
J2,0.95360304,2.2548339564494184,2.086801143048958,0.07519080828871606
J2,0.95416144,0.8623035837284936,1.0445617747532607,0.21187051705854207
J2,0.95443227,2.1299414351816646,2.2601191372275977,0.07151188256408153
J2,0.95468344,4.798267418460847,4.961263907527425,0.034214082526721104
J2,0.95490712,5.564285972260809,5.314966558920768,0.04561134357367543
J2,0.95522787,6.901703362362464,7.332855078119442,0.06252581571050275
J2,0.95575293,2.338091207063793,2.8603558466137815,0.22371345439384294
J2,0.95680623,1.165540031178258,1.1378306052025446,0.05478380343938583
J2,0.9587177,0.9750637231886223,1.068313145411399,0.09897284625858263
J2,0.96074542,0.5452930432218958,0.6489276146966428,0.22270270782106727
J2,0.96257508,0.4547523680265375,0.4462254969148014,0.199139535694781
J2,0.96349236,0.4462148959387348,0.4421635438415426,0.04546282078842022
J2,0.96394579,0.3379105100861755,0.32224123276099276,0.05534462300558208
J2,0.96419045,0.2364647205179509,0.2432969655494399,0.1248874965648153
J2,0.96440991,0.19155694712934182,0.16613400002045176,0.2095471581909914
J2,0.96460676,0.25983209389660805,0.3175888690241738,0.2558504116994819
J2,0.96487301,0.3461431848974351,0.28695900948759495,0.2051547470292796
J2,0.96524473,0.5792230405299784,0.5161981854375846,0.11950222900509512
J2,0.96613701,0.7144561220442329,0.8232983642212629,0.15919374349764828
J2,0.96753899,0.2582888652218389,0.2686940839913477,0.6691771231336011
J2,0.9692499,0.26299618747273984,0.44065364854848904,0.7218295059905891
J2,0.97055256,2.3092911502020073,2.5939599962871296,0.12420884849784218
J2,0.97122544,0.9557130269433137,0.6189674777028388,0.36435896768670667
J2,0.97157166,0.17242291075940938,0.2375698289245388,0.6261404883927004
J2,0.97181075,3.3438053036963966,3.686791758898917,0.1027590141136542
J2,0.97198352,5.252661535072227,5.32426573647233,0.023689120344152645
J2,0.97216826,6.0118288436001714,5.976949429329229,0.01814420317724355
J2,0.97239048,5.274990886260575,5.78652693551438,0.09717244995838308
J2,0.97282473,1.4480912233422933,1.423897267454446,0.02230949519198988
