component,field,s_tor,rho_tor,spectral_norm
J1,total,0.18198552743282234,0.42659761770645455,0.00029293636244426215
J1,total,0.18774242443874928,0.43329253909887405,0.00029480037377016825
J1,total,0.1935912705560791,0.43999008006553864,0.0002970720270136474
J1,total,0.19953328964375452,0.4466914926923889,0.00030047381007774235
J1,total,0.2055688989122222,0.4533970653987762,0.0003055729233019777
J1,total,0.2116985759781783,0.4601071353263045,0.0003124320215919519
J1,total,0.2179228400511427,0.46682206465755527,0.0003216567535435706
J1,total,0.22424222632583207,0.4735422117676861,0.00033564614754934995
J1,total,0.23065739276533392,0.4802680426234229,0.0003554470312435379
J1,total,0.23716882405029957,0.4869998193534568,0.00036706248044896477
J1,total,0.24377637341116537,0.49373715012257824,0.00035999329974480886
J1,total,0.2504799310268667,0.5004797009138999,0.00034889010560037786
J1,total,0.25727928011680196,0.5072270498670215,0.0003401917772341499
J1,total,0.2641735117934597,0.5139781238471728,0.0003322074095196929
J1,total,0.2711610978736414,0.5207313106330763,0.0003250929136221552
J1,total,0.27823951605735375,0.5274841382045092,0.0003203217316282037
J1,total,0.28540466571897277,0.5342327823327325,0.0003203648187896234
J1,total,0.2926495050469299,0.540970891127175,0.0003230836671652664
J1,total,0.2999607030847625,0.5476866833188136,0.00032543893925519765
J1,total,0.3073104855068003,0.5543559195199419,0.0003274638845851801
J1,total,0.3146328614443143,0.5609214396368838,0.0003291537338386593
J1,total,0.3217454966669411,0.5672261424396279,0.0003282804981863372
J1,total,0.3281111722089387,0.5728098918567475,0.00032358693884644406
J1,total,0.33255723870219034,0.5766777598470313,0.00031887160294228446
J1,total,0.33473615859932726,0.5785638759889242,0.0003165550263928976
J1,total,0.33565925249605505,0.5793610726447326,0.0003156447692337179
J1,total,0.3361554647005448,0.5797891553837005,0.0003151854894653046
J1,total,0.3365256096669723,0.5801082740893913,0.0003147382153560946
J1,total,0.3368624583047103,0.5803985340304628,0.0003142327138981947
J1,total,0.33722166123638964,0.5807078966540662,0.00031397588006473395
J1,total,0.3377248539775698,0.5811409932000752,0.00031342670286044774
J1,total,0.33862635700013033,0.5819161082150333,0.0003127995245752292
J1,total,0.34078626223161756,0.5837690144497373,0.00031141363733795663
J1,total,0.34522017938391336,0.5875544054671987,0.00030966316545404034
J1,total,0.3516738426446477,0.5930209462107116,0.00030885611425099857
J1,total,0.3591611041009175,0.5993005123482855,0.0003070861459519522
J1,total,0.36710584646217015,0.605892603075966,0.00030467162343967777
J1,total,0.3752994149370775,0.6126168581887683,0.00030214529324310095
J1,total,0.3836669818374884,0.6194085742363342,0.0002997561455971145
J1,total,0.392176674131664,0.6262401090090478,0.0002976592937198682
J1,total,0.4008120856826749,0.6330972166126423,0.00029584979192182634
J1,total,0.409562812341278,0.6399709464821649,0.0002942728892981452
J1,total,0.41842022899856185,0.646854101786919,0.00029301542950800234
J1,total,0.42737474610299686,0.6537390504650895,0.0002920294820575818
J1,total,0.436412927823286,0.6606155673485798,0.0002906057797357002
J1,total,0.4455128406128757,0.6674674828131149,0.00028898020322805856
J1,total,0.45461198097702016,0.6742491979802573,0.0002874063175064502
J1,total,0.46357828692487096,0.6808658362150879,0.00028624910159707486
J1,total,0.47206725905536595,0.6870715094190458,0.00028508014788802144
J1,total,0.47925618486703425,0.6922833125729915,0.00028250440563636656
J1,total,0.48389623377672564,0.6956265045099458,0.0002801488343885513
J1,total,0.4860827214835603,0.6971963292241005,0.0002792197702204638
J1,total,0.4871029363342032,0.6979276010691963,0.0002788322552056761
J1,total,0.4876852470722047,0.6983446477722907,0.00027863229967558655
J1,total,0.48811767821372043,0.6986541907222202,0.0002784686793319875
J1,total,0.48849044609004316,0.6989209154761669,0.00027853656632468015
J1,total,0.488862991315127,0.6991873792590417,0.0002779009671333258
J1,total,0.48929656206702693,0.6994973638742514,0.0002780993596015042
J1,total,0.4899102411107535,0.6999358835713122,0.00027802129544297335
J1,total,0.4909799317748448,0.700699601665967,0.0002776722965008702
J1,total,0.49326789385940545,0.7023303310119857,0.0002772238284983983
J1,total,0.4980385124755413,0.70571843710898,0.000276876767457313
J1,total,0.5054284849093915,0.7109349371844034,0.00027665114885877876
J1,total,0.5143105644657702,0.7171544913515986,0.00027530086240322107
J1,total,0.5238741093660677,0.7237914819656748,0.00027415916238278355
J1,total,0.5337911950804987,0.7306101525988389,0.0002736782297288213
J1,total,0.5439250987788624,0.737512778722418,0.0002733180201017957
J1,total,0.5541872646433623,0.7444375491895625,0.0002728271316418692
J1,total,0.5644992623115686,0.7513316593299982,0.00027249222389850325
J1,total,0.5747671021549516,0.7581339605603693,0.00027303198146043036
J1,total,0.5847821557902423,0.7647105045638135,0.00027421486936490277
J1,total,0.5940673877504099,0.7707576712238483,0.00027563125245300433
J1,total,0.6014953546271107,0.775561315839767,0.00027532613808183503
J1,total,0.6059051899713626,0.77839911997083,0.0002748088778363154
J1,total,0.6079241587818829,0.7796949139130528,0.00027464627322558037
J1,total,0.6090151726110372,0.7803942417849052,0.00027460309104160215
J1,total,0.6097091107216583,0.7808387226064409,0.00027459806266131025
J1,total,0.610181854422168,0.7811413792791725,0.0002746346322705545
J1,total,0.6105826093870579,0.78139785601642,0.00027469458117977436
J1,total,0.6109678762441525,0.7816443412730323,0.00027455883512992273
J1,total,0.6113773304612735,0.7819062158988592,0.00027456844205067405
J1,total,0.611874078842167,0.7822238035512388,0.00027449445543619436
J1,total,0.6125726443979966,0.7826702015523503,0.0002745138461506756
J1,total,0.6137713061440198,0.7834355788091448,0.00027456572104244927
J1,total,0.6163030317515005,0.785049700179231,0.0002745858493484168
J1,total,0.621458968990991,0.788326689254519,0.0002744212080780804
J1,total,0.6294258025302903,0.7933636004571235,0.00027320091991279207
J1,total,0.6391536150389192,0.7994708343891722,0.0002707931834555954
J1,total,0.6497821552125355,0.8060906619062992,0.0002685605584713386
J1,total,0.6607925490564728,0.8128914743411157,0.0002666227697505844
J1,total,0.6718563936861712,0.8196684657141393,0.00026508735380633086
J1,total,0.6827094286965301,0.8262623243840482,0.00026451232350896046
J1,total,0.6929618606845835,0.8324433077901363,0.00026500284655074814
J1,total,0.7012668280998784,0.8374167589079397,0.0002646525401284785
J1,total,0.7062458680225021,0.8403843573166401,0.0002637549916295413
J1,total,0.7087980965156766,0.8419014767273405,0.00026308168668053315
J1,total,0.7102098820157374,0.8427395101784046,0.0002627849988861343
J1,total,0.7109608615999301,0.8431849510041851,0.00026261620563190215
J1,total,0.7115003237883734,0.8435047858716471,0.00026250753212869266
J1,total,0.7119485082139532,0.8437704120280309,0.00026240801354073467
J1,total,0.7123534805881961,0.8440103557351628,0.00026237491171240686
J1,total,0.7127481037854688,0.8442441020140258,0.00026228787462595157
J1,total,0.7131782746787547,0.8444988304780267,0.0002621846191358057
J1,total,0.7136988971348923,0.8448070176879997,0.00026215328232119105
J1,total,0.7143932400778287,0.845217865451168,0.0002621024175122198
J1,total,0.7154654794343134,0.8458519252412406,0.00026205523422062594
J1,total,0.7175230868312943,0.8470673449208712,0.000262091920514846
J1,total,0.7218305344011651,0.8496061054401416,0.00026223793239678783
J1,total,0.7292636833088664,0.8539693690694452,0.0002626408841714374
J1,total,0.7391452214033555,0.8597355531809509,0.00026220982658137833
