source,component,s_tor,rho_tor,dT_phi_ds_N_m,cumulative_T_phi_N_m
mars_native_staggered,total,0.5143105644657702,0.7171544913515986,-21.053793995078614,7148.2315651722365
mars_native_staggered,total,0.5238741093660677,0.7237914819656748,-13.855781522648657,7148.095949679937
mars_native_staggered,total,0.5337911950804987,0.7306101525988389,-11.426219128715797,7147.981155885256
mars_native_staggered,total,0.5439250987788624,0.737512778722418,-7.410227348596543,7147.90541385796
mars_native_staggered,total,0.5541872646433623,0.7444375491895625,-3.9442522212067055,7147.864776033248
mars_native_staggered,total,0.5644992623115686,0.7513316593299982,-3.2020335071752144,7147.83172801791
mars_native_staggered,total,0.5747671021549516,0.7581339605603693,-5.967292299443028,7147.770773717023
mars_native_staggered,total,0.5847821557902423,0.7647105045638135,-10.354876486668443,7147.669136734534
mars_native_staggered,total,0.5940673877504099,0.7707576712238483,3.325110769830838,7147.698248379266
mars_native_staggered,total,0.6014953546271107,0.775561315839767,30.82842322680711,7147.886327766207
mars_native_staggered,total,0.6059051899713626,0.77839911997083,36.50291232228716,7147.9855728749335
mars_native_staggered,total,0.6079241587818829,0.7796949139130528,24.08501919994971,7148.017343676185
mars_native_staggered,total,0.6090151726110372,0.7803942417849052,30.534645655173662,7148.043692546436
mars_native_staggered,total,0.6097091107216583,0.7808387226064409,2.874912431750189,7148.045201757717
mars_native_staggered,total,0.610181854422168,0.7811413792791725,-8.927683349867237,7148.041447413702
mars_native_staggered,total,0.6105826093870579,0.78139785601642,35.19777855543578,7148.054857118717
mars_native_staggered,total,0.6109678762441525,0.7816443412730323,8.382838193620502,7148.058122671291
mars_native_staggered,total,0.6113773304612735,0.7819062158988592,-28.824347742071843,7148.0457467562155
mars_native_staggered,total,0.611874078842167,0.7822238035512388,-12.927619752760057,7148.03845376274
mars_native_staggered,total,0.6125726443979966,0.7826702015523503,-8.559121253443253,7148.03132409483
mars_native_staggered,total,0.6137713061440198,0.7834355788091448,-20.274815307809103,7147.99960753522
mars_native_staggered,total,0.6163030317515005,0.785049700179231,-37.72452058994582,7147.867604972408
mars_native_staggered,total,0.621458968990991,0.788326689254519,-42.8179359966026,7147.575896817165
mars_native_staggered,total,0.6294258025302903,0.7933636004571235,-18.25025340543237,7147.4094378807695
mars_native_staggered,total,0.6391536150389192,0.7994708343891722,-0.871601812913547,7147.400430125265
mars_native_staggered,total,0.6497821552125355,0.8060906619062992,-2.368015915358335,7147.374565788046
mars_native_staggered,total,0.6607925490564728,0.8128914743411157,-5.776446398290237,7147.310456351763
mars_native_staggered,total,0.6718563936861712,0.8196684657141393,-9.304895357066053,7147.207830168402
mars_native_staggered,total,0.6827094286965301,0.8262623243840482,-19.295618784385372,7147.001814664193
mars_native_staggered,total,0.6929618606845835,0.8324433077901363,-36.94709769968946,7146.63869630387
mars_native_staggered,total,0.7012668280998784,0.8374167589079397,-16.474523068368963,7146.526968180538
mars_native_staggered,total,0.7062458680225021,0.8403843573166401,18.199078419383493,7146.584772217828
mars_native_staggered,total,0.7087980965156766,0.8419014767273405,25.575854456669802,7146.634088863022
mars_native_staggered,total,0.7102098820157374,0.8427395101784046,15.795140054516057,7146.648230581242
mars_native_staggered,total,0.7109608615999301,0.8431849510041851,9.117225680578082,7146.653761439697
mars_native_staggered,total,0.7115003237883734,0.8435047858716471,14.31830523778612,7146.660523775643
mars_native_staggered,total,0.7119485082139532,0.8437704120280309,-6.7811984889394425,7146.6576479860505
mars_native_staggered,total,0.7123534805881961,0.8440103557351628,-9.958628866641318,7146.653805330038
mars_native_staggered,total,0.7127481037854688,0.8442441020140258,8.922047639332147,7146.6574043452165
mars_native_staggered,total,0.7131782746787547,0.8444988304780267,-16.093590623373593,7146.650050260727
mars_native_staggered,total,0.7136988971348923,0.8448070176879997,-13.771811643962398,7146.642003562445
mars_native_staggered,total,0.7143932400778287,0.845217865451168,4.035596813149072,7146.645249789748
mars_native_staggered,total,0.7154654794343134,0.8458519252412406,-7.126815614923349,7146.635699283889
mars_native_staggered,total,0.7175230868312943,0.8470673449208712,-18.606928165552542,7146.584062557412
mars_native_staggered,total,0.7218305344011651,0.8496061054401416,-7.614409926714769,7146.539596225285
mars_native_staggered,total,0.7292636833088664,0.8539693690694452,21.358080578805716,7146.732385731549
mars_native_staggered,total,0.7391452214033555,0.8597355531809509,29.170997727215283,7147.045581289548
mars_native_staggered,total,0.7501003032831153,0.8660833119758834,9.591368053978305,7147.152751636051
mars_native_staggered,total,0.7613470835476857,0.8725520520563147,-16.173550576010058,7146.969668080572
mars_native_staggered,total,0.7721165505232186,0.8787016277003352,-52.68625182962402,7146.431267374775
mars_native_staggered,total,0.7811091235065297,0.8838037811112429,-71.41715683461163,7145.876631172488
mars_native_staggered,total,0.7875268271862947,0.8874270827433062,-27.79106185620176,7145.735751069171
mars_native_staggered,total,0.7911165316330167,0.8894473180762403,17.201326108996515,7145.772048437653
mars_native_staggered,total,0.79276085807818,0.8903711911771293,30.116607694729908,7145.807540964038
mars_native_staggered,total,0.7937655398429836,0.8909352051877755,12.386918245987236,7145.817832759789
mars_native_staggered,total,0.7944337326201591,0.8913101214617498,103.30424340594705,7145.870055687557
mars_native_staggered,total,0.794939525318954,0.8915938118442467,-65.0336203090922,7145.83714477936
mars_native_staggered,total,0.795399985133699,0.8918519973256207,-155.34521278687376,7145.772698308334
mars_native_staggered,total,0.7958026813251315,0.8920777327818084,96.45325398186718,7145.810366454735
mars_native_staggered,total,0.7961933595833324,0.8922966768868594,75.99435402226618,7145.840066860799
mars_native_staggered,total,0.7966401397854146,0.8925469958413476,19.172969357948915,7145.849705813335
mars_native_staggered,total,0.7971783338926246,0.892848438366011,-19.44677590626892,7145.838550138038
mars_native_staggered,total,0.7978107911339307,0.8932025476530677,-89.60344133913027,7145.77661061034
mars_native_staggered,total,0.7986957483193649,0.8936977947378884,-30.38141518159025,7145.74383964979
mars_native_staggered,total,0.8002318754359248,0.8945568039179652,14.883701914200307,7145.773511837874
mars_native_staggered,total,0.8033388854394037,0.8962917412535963,19.76459035661336,7145.856926657397
mars_native_staggered,total,0.8091165085838349,0.8995090375220445,92.29019289976803,7146.533859437547
mars_native_staggered,total,0.8176480037468767,0.9042389085561828,106.6337645164198,7147.571209905206
mars_native_staggered,total,0.8279483870962185,0.9099166923934402,323.46852607573794,7151.088155528655
mars_native_staggered,total,0.8383711471066958,0.9156260956890077,-37.29505201021032,7150.71621515688
mars_native_staggered,total,0.8474741595155908,0.9205835972444821,-225.43925548716498,7148.860148937626
mars_native_staggered,total,0.853920906682492,0.9240784093801196,29.225000434081,7148.996348667849
mars_native_staggered,total,0.8573759034859315,0.9259459506288321,-31.59703226308067,7148.925267686792
mars_native_staggered,total,0.8591383569394297,0.9268971663239832,-189.23758314371034,7148.683933470371
mars_native_staggered,total,0.8601658709213587,0.9274512768449665,278.6268619466901,7148.901187323075
